ec1	ec2	ec3	ec4	arg	lys	met	phe	sd	fitness
63	0.45	0.1	0.2	0.25	1.3	1.8	1.4	1.3	0	0
64	0.4	0.45	0.1	0.05	1.4	1.9	1.7	1	0.41007835809199	0
66	0.55	0.1	0.3	0.05	1.2	1.5	1.7	1.7	0	0
67	0.55	0.1	0.3	0.05	1.5	1.5	1.5	1.3	0	0
68	0.5	0.05	0.2	0.25	1.7	1.4	1.5	1.3	0	0
69	0.6	0.1	0.25	0.05	1	1.5	1.2	1.1	0	0
71	0.55	0.1	0.25	0.1	1.3	1.3	1.3	1.2	0.300122253928944	0
72	0.05	0.6	0.2	0.15	1.6	1	1	1	0.448857405736436	0
73	0.45	0.1	0.2	0.25	1.4	1.8	1.6	1.1	0	0
75	0.8	0.1	0.05	0.05	1.6	1.2	1.5	1.2	0	0
79	0.45	0.1	0.2	0.25	1.5	1.3	1.7	1.1	0.545463159174947	0
80	0.05	0.15	0.35	0.45	1.1	1.1	1.2	1.3	0	0
82	0.15	0.65	0.1	0.1	1.7	1.1	1.1	1.3	0.522121997831203	0
83	0.65	0.1	0.2	0.05	1.6	1.6	1.1	1.1	0	0
84	0.15	0.05	0.15	0.65	1.4	2	1.7	1.4	0	0
85	0.45	0.1	0.3	0.15	1	1.6	1.1	1.3	0	0
86	0.1	0.35	0.15	0.4	1.9	1.4	1.9	1.9	0	0
87	0.5	0.1	0.25	0.15	1.6	1.3	1	1.3	0	0
88	0.15	0.55	0.1	0.2	1.7	1.6	1.1	1.3	0	0
90	0.5	0.05	0.05	0.4	1.9	1.1	1	1.5	0.123835793376603	0
91	0.45	0.25	0.25	0.05	1.6	1.7	1.7	1.2	0.507935774865833	0
92	0.4	0.5	0.05	0.05	1.7	1.8	2	1.6	0	0
94	0.3	0.25	0.15	0.3	1.6	1.4	1.3	1.1	0	0
95	0.3	0.3	0.05	0.35	1.9	1.9	1.8	1.7	0.512347348444676	0
96	0.35	0.25	0.1	0.3	1.2	1.2	1.5	1.3	0	0
97	0.25	0.15	0.3	0.3	1.8	1.7	1	1.8	0	0
98	0.35	0.25	0.1	0.3	1.7	1.4	1.3	1.2	0.493010984572577	0
99	0.45	0.1	0.4	0.05	1.6	1	2	1.5	0	0
100	0.4	0.25	0.1	0.25	1.6	1.2	1.5	1.2	0.126943766542833	0
101	0.4	0.3	0.05	0.25	1.2	2	1.1	1.4	0	0
103	0.1	0.25	0.15	0.5	1.9	1.6	1.7	1	0	0
104	0.4	0.2	0.15	0.25	1.7	1.2	1.3	1.3	0.515607673416448	0
105	0.05	0.15	0.2	0.6	1.3	1.4	2	1.5	0	0
107	0.25	0.4	0.1	0.25	1	1.7	1.4	1.3	0	0
109	0.05	0.65	0.25	0.05	1.8	1.6	1.9	1.1	0.148851331342065	0
110	0.3	0.2	0.15	0.35	1.7	1.4	1.3	1.1	0.526733851639549	0
111	0.75	0.05	0.15	0.05	1.1	1.7	1.7	1	0	0
112	0.4	0.1	0.15	0.35	1.4	1.2	1.3	1.1	0.538950440556194	0
113	0.1	0.1	0.05	0.75	1.3	2	1.9	1.5	0	0
114	0.35	0.15	0.15	0.35	1.1	1.2	1.6	1.1	0	0
115	0.25	0.2	0.15	0.4	1.3	2	1.1	1	0.530240590951721	0
116	0.35	0.25	0.15	0.25	1.7	1.2	1.2	1.1	0.493967239700847	0
117	0.8	0.1	0.05	0.05	1.4	1	1.4	1.3	0	0
119	0.05	0.65	0.15	0.15	1.3	1.8	1.2	1.7	0.422302192455197	0
121	0.1	0.1	0.65	0.15	1.2	1	1.2	1.6	0	0
123	0.2	0.25	0.2	0.35	1.4	1.5	2	1.3	0	0
125	0.15	0.3	0.35	0.2	1.5	1.4	1.8	1.3	0	0
127	0.15	0.25	0.5	0.1	1.9	1.5	1.5	1.9	0	0
129	0.05	0.55	0.35	0.05	2	1.2	1.3	1.1	0.384455490181883	0
130	0.3	0.15	0.15	0.4	1.2	2	1.6	1.3	0.552913142405074	0
131	0.2	0.15	0.05	0.6	1	1	1	2	0	0
133	0.05	0.35	0.1	0.5	1.2	1.9	1.9	1.6	0	0
136	0.35	0.4	0.05	0.2	1.5	1.7	1.2	1.4	0	0
138	0.1	0.05	0.45	0.4	1.2	1.7	2	1.3	0	0
141	0.75	0.15	0.05	0.05	1.5	1.3	1.4	1.1	0	0
142	0.4	0.15	0.4	0.05	1.2	1.8	1.2	2	0.437008266899793	0
144	0.3	0.45	0.2	0.05	1	1.4	1.9	1	0.428990698536618	0
146	0.05	0.4	0.05	0.5	1.1	1.9	1.9	1.4	0	0
147	0.4	0.1	0.15	0.35	1.3	1.4	1.8	1.3	0.474593274418441	0
148	0.1	0.3	0.15	0.45	1.9	1.1	1.2	1.5	0	0
149	0.4	0.2	0.1	0.3	1	1.4	1.8	1.4	0.530498822311246	0
150	0.1	0.3	0.25	0.35	1.8	1.4	1.5	1.8	0	0
151	0.4	0.1	0.15	0.35	1.4	1.8	2	1.4	0.542764988245294	0
152	0.2	0.5	0.15	0.15	1	1.1	1.4	1.1	0	0
154	0.35	0.25	0.15	0.25	1.2	1.7	2	1.8	0.490172685302151	0
158	0.7	0.05	0.1	0.15	1.7	1.2	1.7	2	0.1948064180019	0
159	0.5	0.1	0.05	0.35	1	1.6	2	1.4	0.102480041595802	0
160	0.3	0.45	0.2	0.05	1.6	1.2	1.8	1.9	0.486219631783327	0
162	0.45	0.1	0.4	0.05	1.5	2	1.5	1.7	0	0
166	0.4	0.1	0.45	0.05	1.1	1.1	1.9	1.9	0	0
168	0.15	0.15	0.1	0.6	1	2	1.9	1.7	0	0
170	0.25	0.15	0.45	0.15	1.1	1	1.5	2	0	0
172	0.2	0.2	0.45	0.15	1.4	1.9	1.5	1.1	0	0
174	0.1	0.75	0.1	0.05	1.5	1.6	1.6	1.1	0.129603931722618	0
176	0.2	0.2	0.2	0.4	1	1.5	1.8	2	0	0
178	0.05	0.35	0.45	0.15	1.5	1.1	1.8	1.3	0	0
180	0.15	0.15	0.3	0.4	1.3	1.1	1.6	1	0	0
183	0.5	0.1	0.15	0.25	1	1.6	1.4	1	0.452128506878057	0
184	0.35	0.1	0.5	0.05	1.6	1.1	1.3	1	0	0
186	0.4	0.05	0.45	0.1	1.1	1	1.8	1.1	0	0
188	0.1	0.1	0.55	0.25	1.1	1.8	1.9	1.6	0	0
190	0.25	0.45	0.1	0.2	1.7	1.5	2	1	0.10646649069717	0
191	0.6	0.1	0.15	0.15	1	1.5	1.3	1.2	0.104864544632364	0
