91: p1_ec1='0.45', p2_ec2='0.25', p3_ec3='0.25', p4_ec4='0.05', p5_arg='1.6', p6_lys='1.7', p7_met='1.7', p8_phe='1.2',91,0
92: p1_ec1='0.4', p2_ec2='0.5', p3_ec3='0.05', p4_ec4='0.05', p5_arg='1.7', p6_lys='1.8', p7_met='2', p8_phe='1.6',92,0
93: p1_ec1='0.6', p2_ec2='0.20', p3_ec3='0.15', p4_ec4='0.05', p5_arg='1.6', p6_lys='1.2', p7_met='1.6', p8_phe='1.2',93,0.819649
94: p1_ec1='0.3', p2_ec2='0.25', p3_ec3='0.15', p4_ec4='0.3', p5_arg='1.6', p6_lys='1.4', p7_met='1.3', p8_phe='1.1',94,0
95: p1_ec1='0.3', p2_ec2='0.3', p3_ec3='0.05', p4_ec4='0.35', p5_arg='1.9', p6_lys='1.9', p7_met='1.8', p8_phe='1.7',95,0
96: p1_ec1='0.35', p2_ec2='0.25', p3_ec3='0.1', p4_ec4='0.3', p5_arg='1.2', p6_lys='1.2', p7_met='1.5', p8_phe='1.3',96,0
97: p1_ec1='0.25', p2_ec2='0.15', p3_ec3='0.3', p4_ec4='0.3', p5_arg='1.8', p6_lys='1.7', p7_met='1', p8_phe='1.8',97,0
98: p1_ec1='0.35', p2_ec2='0.25', p3_ec3='0.1', p4_ec4='0.3', p5_arg='1.7', p6_lys='1.4', p7_met='1.3', p8_phe='1.2',98,0
99: p1_ec1='0.45', p2_ec2='0.1', p3_ec3='0.4', p4_ec4='0.05', p5_arg='1.6', p6_lys='1', p7_met='2', p8_phe='1.5',99,0
100: p1_ec1='0.4', p2_ec2='0.25', p3_ec3='0.1', p4_ec4='0.25', p5_arg='1.6', p6_lys='1.2', p7_met='1.5', p8_phe='1.2',100,0
101: p1_ec1='0.4', p2_ec2='0.3', p3_ec3='0.05', p4_ec4='0.25', p5_arg='1.2', p6_lys='2', p7_met='1.1', p8_phe='1.4',101,0
102: p1_ec1='0.4', p2_ec2='0.25', p3_ec3='0.15', p4_ec4='0.20', p5_arg='1.5', p6_lys='1.3', p7_met='1.3', p8_phe='1.3',102,0.879409
103: p1_ec1='0.1', p2_ec2='0.25', p3_ec3='0.15', p4_ec4='0.5', p5_arg='1.9', p6_lys='1.6', p7_met='1.7', p8_phe='1',103,0
104: p1_ec1='0.4', p2_ec2='0.20', p3_ec3='0.15', p4_ec4='0.25', p5_arg='1.7', p6_lys='1.2', p7_met='1.3', p8_phe='1.3',104,0
105: p1_ec1='0.05', p2_ec2='0.15', p3_ec3='0.20', p4_ec4='0.6', p5_arg='1.3', p6_lys='1.4', p7_met='2', p8_phe='1.5',105,0
106: p1_ec1='0.4', p2_ec2='0.15', p3_ec3='0.15', p4_ec4='0.3', p5_arg='1.7', p6_lys='1.3', p7_met='1.6', p8_phe='1.2',106,0.933234
107: p1_ec1='0.25', p2_ec2='0.4', p3_ec3='0.1', p4_ec4='0.25', p5_arg='1', p6_lys='1.7', p7_met='1.4', p8_phe='1.3',107,0
108: p1_ec1='0.7', p2_ec2='0.1', p3_ec3='0.05', p4_ec4='0.15', p5_arg='2', p6_lys='1.7', p7_met='1.2', p8_phe='1.1',108,0.876539
