Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
MaxYieldNew_MinTime	-4.0,-16.0,-6.0,-4.0,0.0,-7.0,1.7,0.5	0.702435	0.002770968671103832	0.992101	0.539589	118
MaxYieldNew_MinTime	-14.0,-12.0,-7.0,-2.0,-18.0,-3.0,15.8,1.2	0.702419	0.00010077816322956904	0.831427	0.450403	83
MaxYieldNew_MinTime	-6.0,-18.0,-1.0,-8.0,-10.0,-7.0,5.7,8.2	0.702377	0.00020497481450694599	0.912407	0.495353	101
MaxYieldNew_MinTime	-10.0,-8.0,-7.0,-8.0,0.0,-4.0,11.3,9.2	0.702223	0.006570157363510024	0.88505	0.480168	95
MaxYieldNew_MinTime	-6.0,0.0,-1.0,-12.0,-8.0,-7.0,5.7,14.2	0.701533	0.0	0.856534	0.464339	89
MaxYieldNew_MinTime	-4.0,-16.0,-6.0,-6.0,-2.0,-7.0,1.7,4.7	0.700985	0.0022182969728189814	0.985964	0.536182	118
MaxYieldNew_MinTime	-4.0,-2.0,-4.0,-16.0,-18.0,-7.0,4.0,17.4	0.700351	0.0003023508273126675	0.808942	0.437922	79
MaxYieldNew_MinTime	-4.0,-14.0,-4.0,-20.0,-14.0,-7.0,4.0,20.6	0.700167	0.0002545224136769536	0.777015	0.4202	72
MaxYieldNew_MinTime	-16.0,-6.0,-7.0,-6.0,-12.0,-7.0,17.4,4.7	0.699723	0.0029885478324417156	0.816591	0.442168	81
MaxYieldNew_MinTime	-4.0,-12.0,-7.0,-2.0,-4.0,-4.0,0.5,-0.0	0.699463	0.0002482762274379504	1.009697	0.549356	124
MaxYieldNew_MinTime	-4.0,-12.0,-7.0,-2.0,-10.0,-4.0,0.5,-0.0	0.699393	0.00041756126807900045	1.009544	0.549271	124
MaxYieldNew_MinTime	-8.0,-16.0,-7.0,-6.0,-6.0,-3.0,8.2,6.9	0.699105	0.00015919740001786811	0.900829	0.488926	100
MaxYieldNew_MinTime	-4.0,-14.0,-7.0,-2.0,-14.0,-5.0,0.5,-1.2	0.69874	0.00010430581054743792	0.999125	0.543487	122
